municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet,puntaje_stem,brecha_stem,nivel_brecha,nivel_conectividad_base,nivel_conectividad,municipio_normalizado
RAMIRIQUÍ,RURAL,50.62068965517241,49.793103448275865,14896.0,50.20689655172414,2.7207812902062685,medio,básico,básico,RAMIRIQUI
RAMIRIQUÍ,URBANO,51.95774647887324,53.985915492957744,14896.0,52.97183098591549,5.485715724397615,bajo,básico,básico,RAMIRIQUI
RECETOR,URBANO,50.4,53.73333333333333,492.0,52.06666666666666,4.580551405148789,medio,básico,básico,RECETOR
REGIDOR,RURAL,41.23529411764706,39.0,1331.0,40.11764705882353,-7.368468202694345,crítico,básico,básico,REGIDOR
REGIDOR,URBANO,37.15384615384615,33.256410256410255,1331.0,35.205128205128204,-12.28098705638967,crítico,básico,básico,REGIDOR
REMEDIOS,RURAL,40.56164383561644,40.24657534246575,28143.0,40.4041095890411,-7.082005672476775,crítico,básico,básico,REMEDIOS
REMEDIOS,URBANO,40.66666666666666,41.86309523809524,28143.0,41.26488095238095,-6.221234309136925,crítico,básico,básico,REMEDIOS
REMOLINO,RURAL,40.92307692307692,41.38461538461539,2448.0,41.15384615384615,-6.332269107671721,crítico,básico,básico,REMOLINO
REMOLINO,URBANO,40.77272727272727,38.40909090909091,2448.0,39.59090909090909,-7.89520617060878,crítico,básico,básico,REMOLINO
REPELÓN,RURAL,45.67796610169491,47.67796610169491,4364.0,46.67796610169491,-0.8081491598229604,alto,básico,básico,REPELON
REPELÓN,URBANO,43.44025157232704,44.71698113207548,4364.0,44.078616352201266,-3.407498909316608,alto,básico,básico,REPELON
RESTREPO,RURAL,54.6993006993007,56.58741258741259,65025.0,55.64335664335664,8.157241381838766,bajo,básico,básico,RESTREPO
RESTREPO,URBANO,47.862876254180605,48.76588628762542,65025.0,48.31438127090301,0.8282660093851391,medio,básico,básico,RESTREPO
RETIRO,RURAL,59.00862068965517,62.65948275862069,82312.0,60.83405172413793,13.347936462620055,bajo,básico,básico,RETIRO
RETIRO,URBANO,47.19191919191919,51.96969696969697,82312.0,49.58080808080808,2.0946928192902092,medio,básico,básico,RETIRO
